City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,phan rang-thap cham,11.5667,108.9833,24.87,90,84,1.24,VN,1723062274
138,houmt el souk,33.8758,10.8575,27.97,78,20,4.12,TN,1723062275
139,ponta delgada,37.7333,-25.6667,24.4,78,75,4.63,PT,1723062276
140,abong mbang,3.9833,13.1833,21.34,88,100,1.84,CM,1723062278
141,sisimiut,66.9395,-53.6735,7.99,82,64,5.6,GL,1723062279
142,colonia,50.9333,6.95,20.46,79,57,2.09,DE,1723062280
143,hovd,48.0056,91.6419,18.69,41,99,1.89,MN,1723062282
144,hadibu,12.65,54.0333,25.87,82,36,8.95,YE,1723062283
145,lebu,-37.6167,-73.65,9.3,71,0,5.94,CL,1723062284
146,vorgashor,67.5833,63.95,7.06,74,9,2.31,RU,1723062286
147,arkalyk,50.2486,66.9114,20.31,78,73,5.24,KZ,1723062287
148,maua,-23.6678,-46.4614,27.16,36,4,4.56,BR,1723062288
149,yicheng,31.3705,119.8703,27.67,84,3,3.34,CN,1723062290
150,khanty-mansiysk,61.0042,69.0019,15.06,55,0,2.0,RU,1723062255
151,port elizabeth,-33.918,25.5701,14.62,48,3,3.37,ZA,1723062292
152,lincoln,40.8,-96.667,29.94,51,0,3.09,US,1723061721
153,kirakira,-10.4544,161.9205,25.67,85,100,6.29,SB,1723062295
154,haiku-pauwela,20.9219,-156.3051,28.43,67,20,9.77,US,1723062296
155,new plymouth,-39.0667,174.0833,11.56,100,100,8.52,NZ,1723062297
156,kenai,60.5544,-151.2583,15.01,95,100,4.12,US,1723062299
157,mae ramat,16.984,98.5166,26.0,99,100,0.58,TH,1723062300
158,olavarria,-36.8927,-60.3225,7.26,87,100,5.77,AR,1723062301
159,wanganui,-39.9333,175.05,10.71,66,100,4.84,NZ,1723062303
160,molina,-35.1167,-71.2833,7.85,71,0,3.09,CL,1723062304
161,dongning,44.0622,131.1207,20.21,95,98,1.53,CN,1723062305
162,uturoa,-16.7333,-151.4333,26.01,79,9,5.06,PF,1723062307
163,gogrial,8.5332,28.1004,22.9,94,100,2.07,SS,1723062309
164,kuta,-8.7233,115.1723,25.97,89,40,6.17,ID,1723062311
165,karratha,-20.7377,116.8463,20.54,39,3,4.25,AU,1723062312
166,'ali al gharbi,32.4633,46.6864,38.73,12,5,6.18,IQ,1723062313
167,kushima,31.4583,131.2333,25.67,93,13,2.14,JP,1723062315
168,sept-iles,50.2001,-66.3821,20.29,52,75,4.63,CA,1723062316
169,nova sintra,14.8667,-24.7167,25.58,84,89,6.05,CV,1723062317
170,minab,27.1467,57.0801,31.52,72,43,3.19,IR,1723062319
171,taro,-8.3862,115.28,22.0,100,79,0.81,ID,1723062320
172,kilju,40.9642,129.3278,23.87,77,100,1.62,KP,1723062321
173,la sarre,48.8002,-79.1996,22.47,40,31,1.89,CA,1723062323
174,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1723062324
175,gaspe,48.8334,-64.4819,19.12,55,75,4.12,CA,1723062325
176,happy valley-goose bay,53.3168,-60.3315,16.17,88,75,2.57,CA,1723062327
177,mankono,8.0586,-6.1897,23.18,93,100,1.58,CI,1723062328
178,port mathurin,-19.6833,63.4167,22.36,74,11,4.78,MU,1723062329
179,mount gambier,-37.8333,140.7667,11.08,56,100,5.42,AU,1723062331
180,ketchikan,55.3422,-131.6461,18.52,54,0,1.78,US,1723062238
181,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,82,40,3.0,RU,1723062333
182,ulaangom,49.9811,92.0667,17.06,49,10,1.36,MN,1723062335
183,pangody,65.85,74.4859,8.93,76,100,4.58,RU,1723062336
184,boguchany,58.3814,97.4531,16.38,98,100,1.51,RU,1723062337
185,ta`u,-14.2336,-169.5144,24.81,78,100,10.34,AS,1723062339
186,kavaratti,10.5669,72.642,27.38,83,100,5.9,IN,1723062340
187,barbastro,42.0356,0.1269,29.3,40,9,4.34,ES,1723062341
188,shimoda,34.6667,138.95,25.61,85,0,0.95,JP,1723062343
189,jumla,29.2747,82.1838,14.85,96,97,0.23,NP,1723062344
190,izyum,49.2088,37.2485,19.92,65,90,1.91,UA,1723062345
191,whakatane,-37.9585,176.9854,9.32,88,100,2.86,NZ,1723062347
192,trenton,40.217,-74.7429,21.36,93,100,5.66,US,1723062348
193,uzgen,40.7699,73.3007,23.79,32,0,3.03,KG,1723062349
194,kingston,17.997,-76.7936,32.53,70,20,10.29,JM,1723062032
195,chimoio,-19.1164,33.4833,16.92,82,0,1.03,MZ,1723062352
196,sparti,37.0733,22.4297,25.67,61,9,1.01,GR,1723062353
197,tolanaro,-25.0319,46.9987,22.04,73,75,7.2,MG,1723062355
198,huilong,31.8111,121.655,27.37,84,17,3.9,CN,1723062356
199,choibalsan,48.0667,114.5,18.5,64,100,3.33,MN,1723062357
200,kruisfontein,-34.0033,24.7314,11.05,44,2,2.34,ZA,1723062358
201,poronaysk,49.2167,143.1167,15.6,96,100,1.1,RU,1723062360
202,hobyo,5.3505,48.5268,24.41,87,100,10.46,SO,1723062361
203,ubinskoye,55.3068,79.6802,15.56,92,0,1.35,RU,1723062362
204,cidade velha,14.9167,-23.6167,27.26,74,75,6.17,CV,1723062364
205,shenkursk,62.1091,42.896,15.44,71,100,0.96,RU,1723062365
206,flying fish cove,-10.4217,105.6791,24.82,83,20,5.66,CX,1723062366
207,wao,7.6833,124.6833,18.41,92,100,0.83,PH,1723062367
208,keflavik,64.0049,-22.5624,12.95,87,0,5.66,IS,1723062369
209,argo,37.6333,22.7333,28.21,62,1,0.4,GR,1723062372
210,bodo,67.28,14.405,22.19,53,0,8.75,NO,1723062373
211,ishikawa,26.4233,127.8214,28.98,92,0,2.57,JP,1723062374
212,tateyama,34.9833,139.8667,26.38,89,48,1.46,JP,1723062376
213,al hawatah,13.4167,34.6333,25.37,82,100,3.18,SD,1723062377
214,presidente olegario,-18.4178,-46.4181,25.22,30,0,3.3,BR,1723062378
215,waddan,29.1614,16.139,35.29,15,24,4.95,LY,1723062380
216,shupiyan,33.7167,74.8333,17.2,81,16,2.44,IN,1723062381
217,la feria,26.159,-97.8239,39.08,32,40,1.54,US,1723062382
218,paea,-17.6833,-149.5833,28.84,70,40,6.17,PF,1723062384
219,mawu,34.4307,104.9176,16.07,100,100,1.95,CN,1723062385
220,ypsonas,34.6884,32.9574,26.54,83,0,4.12,CY,1723062386
221,hermanus,-34.4187,19.2345,8.78,86,3,3.75,ZA,1723062388
222,calama,-22.4667,-68.9333,18.27,9,0,12.86,CL,1723062389
223,tazovsky,67.4667,78.7,8.91,75,100,5.91,RU,1723062392
224,mont-dore,-22.2833,166.5833,21.11,99,100,3.62,NC,1723062393
225,seminole,28.7086,-81.2081,35.21,58,0,6.17,US,1723062395
226,ust-nera,64.5667,143.2,10.61,94,100,1.64,RU,1723062396
227,gaoyou,32.7858,119.4278,27.28,94,78,3.87,CN,1723062397
228,geraldton,-28.7667,114.6,14.23,94,75,3.09,AU,1723062398
229,howrah,22.5892,88.3103,28.0,94,40,1.54,IN,1723062399
230,st. john's,47.5649,-52.7093,21.27,68,100,1.34,CA,1723062332
231,myeik,12.4333,98.6,25.82,88,97,0.51,MM,1723062402
232,christchurch,-43.5333,172.6333,9.97,78,75,3.09,NZ,1723062224
233,vershino-darasunskiy,52.35,115.5167,11.44,72,80,1.22,RU,1723062404
234,polyarnyy,69.1989,33.4478,15.38,55,8,3.64,RU,1723062405
235,huancabamba,-5.2386,-79.4506,22.04,59,45,1.89,PE,1723062407
236,niquero,20.0431,-77.5828,31.9,62,93,3.84,CU,1723062408
237,cihanbeyli,38.6607,32.9244,25.51,31,0,6.0,TR,1723062409
238,alotau,-10.3069,150.4462,22.87,96,100,1.6,PG,1723062411
239,mugia,43.1041,-9.2179,20.65,82,8,9.74,ES,1723062412
240,magadan,59.5667,150.8,11.54,88,11,0.98,RU,1723062413
241,baley,51.6,116.6333,11.98,77,21,1.36,RU,1723062414
242,iquitos,-3.7481,-73.2472,33.02,62,40,2.06,PE,1723062245
243,gazli,40.1333,63.45,31.95,15,0,4.78,UZ,1723062417
244,el granada,37.5027,-122.4694,31.98,56,0,7.2,US,1723062419
245,mancio lima,-7.6142,-72.8958,28.04,78,75,2.06,BR,1723062421
246,querqueville,49.6625,-1.6912,16.82,88,0,3.6,FR,1723062293
247,touros,-5.1989,-35.4608,25.27,76,7,7.48,BR,1723062202
248,aykhal,66.0,111.5,11.8,61,84,4.37,RU,1723062425
249,mitsamiouli,-11.3847,43.2844,25.29,72,1,3.53,KM,1723062426
250,chonchi,-42.6128,-73.8092,10.56,76,34,0.73,CL,1723062427
251,emporia,38.4039,-96.1817,31.11,40,0,3.09,US,1723062429
252,bayanhongor,46.7167,100.1167,13.17,53,100,4.88,MN,1723062430
253,storvreta,59.9667,17.7,18.99,82,76,2.36,SE,1723062431
254,qaqortoq,60.7167,-46.0333,8.06,94,100,2.1,GL,1723062433
255,jabal os saraj,35.1183,69.2378,19.67,18,0,5.06,AF,1723062434
256,al jawf,29.5,38.75,29.79,13,2,2.99,SA,1723062435
257,dek'emhare,15.07,39.0475,17.03,85,96,1.18,ER,1723062438
258,badger,64.8,-147.5333,22.42,56,75,0.0,US,1723062439
259,kidal,18.4411,1.4078,35.65,31,6,9.61,ML,1723062374
260,ar rass,25.8694,43.4973,31.88,10,92,3.46,SA,1723062442
261,agat village,13.3886,144.6585,27.42,88,0,0.0,GU,1723062443
262,veshenskaya,49.6303,41.7334,21.6,53,36,1.83,RU,1723062444
263,piacabucu,-10.4056,-36.4344,24.14,75,0,2.63,BR,1723062446
264,kigoma,-4.8769,29.6267,24.7,48,41,1.38,TZ,1723062447
265,santyoku,37.4406,129.1708,25.53,82,75,3.0,KR,1723062448
266,fayzabad,37.1166,70.58,21.72,30,0,0.62,AF,1723062450
267,yumbo,3.5823,-76.4915,29.87,45,20,2.57,CO,1723062194
268,avarua,-21.2078,-159.775,24.03,60,20,5.14,CK,1723062452
269,itamaraca,-7.7478,-34.8256,27.03,68,100,4.64,BR,1723062454
270,rabo de peixe,37.8,-25.5833,23.73,78,75,4.63,PT,1723062455
271,nyurba,63.2842,118.3319,8.75,89,60,1.68,RU,1723062456
272,mapastepec,15.4333,-92.9,31.98,69,93,2.95,MX,1723062458
273,palmer,42.1584,-72.3287,22.65,67,75,1.54,US,1723062181
274,selfoss,63.9331,-20.9971,11.66,86,80,3.71,IS,1723062460
275,hanko,59.8333,22.95,19.43,85,0,2.24,FI,1723062462
276,moranbah,-22.0016,148.0466,13.11,98,33,4.23,AU,1723062463
277,trondheim,63.4305,10.3951,22.03,63,100,2.24,NO,1723062464
278,ornskoldsvik,63.2909,18.7153,14.53,82,75,1.03,SE,1723062466
279,saipan,15.1355,145.701,28.39,83,0,0.0,MP,1723062183
280,antofagasta,-23.65,-70.4,15.6,75,7,5.71,CL,1723061677
281,montmagny,48.9734,2.3469,21.36,54,0,3.6,FR,1723062469
282,siquirres,10.0975,-83.5066,25.0,95,100,1.17,CR,1723062471
283,callao,-12.0667,-77.15,18.18,72,100,2.06,PE,1723062472
284,srandakan,-7.9386,110.2506,23.29,91,21,3.49,ID,1723062473
285,vung tau,10.346,107.0843,26.76,82,98,6.59,VN,1723062475
286,tiruchchendur,8.4833,78.1167,28.65,71,100,2.45,IN,1723062476
287,bereznik,62.8551,42.7072,16.34,66,100,1.72,RU,1723062477
288,cockburn town,21.4612,-71.1419,28.2,82,100,6.55,TC,1723062478
289,bandarbeyla,9.4942,50.8122,25.3,85,34,13.96,SO,1723062480
290,aquiraz,-3.9014,-38.3911,28.05,78,3,5.52,BR,1723062481
291,sinabang,2.4803,96.3801,26.39,82,100,1.28,ID,1723062482
292,vyazemskiy,47.5378,134.7525,19.19,95,56,1.04,RU,1723062484
293,saldanha,-33.0117,17.9442,11.03,90,1,3.43,ZA,1723062485
294,juneau,58.3019,-134.4197,21.0,56,0,3.6,US,1723062486
295,katsuura,35.1333,140.3,25.4,93,95,0.2,JP,1723062488
296,prince rupert,54.3161,-130.3201,13.83,98,100,2.06,CA,1723062489
297,vondrozo,-22.8167,47.2833,16.99,97,99,1.01,MG,1723062490
298,irituia,-1.7711,-47.4381,35.06,33,26,1.35,BR,1723062492
299,port augusta,-32.5,137.7667,11.34,54,100,7.5,AU,1723062493
300,cam ranh,11.9214,109.1591,27.98,78,20,1.54,VN,1723062494
301,yelizovo,53.1873,158.3805,17.08,82,40,3.0,RU,1723062255
302,champerico,14.3,-91.9167,35.3,71,100,3.3,GT,1723062497
303,pervomayskiy,53.2485,40.2871,18.39,77,98,2.2,RU,1723062498
304,mujiayingzi,42.1167,118.7833,19.88,82,19,1.87,CN,1723062500
305,rozdilna,46.8433,30.0792,22.01,51,38,3.36,UA,1723062501
306,nadym,65.5333,72.5167,5.5,91,8,4.38,RU,1723062502
307,porto velho,-8.7619,-63.9039,34.03,38,20,2.57,BR,1723062304
308,moree,-29.4667,149.85,8.96,90,0,3.94,AU,1723062506
309,zaki biam,7.5167,9.6167,23.08,94,60,2.9,NG,1723062508
310,niquelandia,-14.4739,-48.4597,29.58,20,0,2.1,BR,1723062510
